n_gold,is_multi,hr_baseline,hr_graph,mrr_baseline,mrr_graph,f1_baseline,f1_graph
2,True,1.0,1.0,0.2,0.25,0.16666666666666669,0.33333333333333337
1,False,0.0,0.0,0.0,0.0,0.0,0.0
7,True,0.0,0.0,0.0,0.0,0.0,0.0
4,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,0.25,0.25,0.18181818181818182,0.18181818181818182
1,False,1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
11,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
57,True,1.0,1.0,1.0,1.0,0.26865671641791045,0.26865671641791045
16,True,1.0,1.0,1.0,1.0,0.3076923076923077,0.6153846153846154
11,True,1.0,1.0,1.0,1.0,0.9523809523809523,0.9523809523809523
7,True,0.0,0.0,0.0,0.0,0.0,0.0
5,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.4
1,False,1.0,1.0,0.14285714285714285,0.25,0.18181818181818182,0.18181818181818182
2,True,0.0,0.0,0.0,0.0,0.0,0.0
9,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
6,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.37499999999999994,0.5
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,1.0,1.0,0.16666666666666669,0.33333333333333337
14,True,0.0,0.0,0.0,0.0,0.0,0.0
12,True,1.0,1.0,0.5,0.5,0.0909090909090909,0.0909090909090909
11,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,0.1111111111111111,0.1111111111111111,0.18181818181818182,0.18181818181818182
3,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.15384615384615383,0.15384615384615383
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,0.0,0.125,0.0,0.18181818181818182,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
16,True,1.0,1.0,1.0,1.0,0.3076923076923077,0.5384615384615384
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
3,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,0.2,0.25,0.16666666666666669,0.33333333333333337
2,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,0.25,0.14285714285714285,0.18181818181818182,0.18181818181818182
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
2,True,1.0,1.0,1.0,1.0,0.16666666666666669,0.16666666666666669
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
3,True,1.0,0.0,0.14285714285714285,0.0,0.15384615384615383,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
2,True,1.0,1.0,1.0,1.0,0.16666666666666669,0.16666666666666669
2,True,0.0,0.0,0.0,0.0,0.0,0.0
4,True,0.0,0.0,0.0,0.0,0.0,0.0
22,True,1.0,1.0,1.0,1.0,0.5000000000000001,0.625
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
13,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.08695652173913043,0.17391304347826086
5,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
9,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
8,True,1.0,1.0,0.16666666666666666,0.125,0.11111111111111112,0.11111111111111112
2,True,0.0,0.0,0.0,0.0,0.0,0.0
14,True,1.0,1.0,1.0,1.0,0.16666666666666666,0.5833333333333334
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,0.5,0.5,0.16666666666666669,0.16666666666666669
3,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.30769230769230765,0.4615384615384615
2,True,0.0,0.0,0.0,0.0,0.0,0.0
5,True,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
1,False,0.0,0.0,0.0,0.0,0.0,0.0
16,True,1.0,1.0,0.5,0.5,0.07692307692307693,0.23076923076923075
1,False,0.0,0.0,0.0,0.0,0.0,0.0
6,True,1.0,1.0,0.2,0.2,0.37499999999999994,0.37499999999999994
1,False,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,1.0,1.0,0.5,0.5,0.15384615384615383,0.4615384615384615
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
4,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,1.0,0.0,0.1111111111111111,0.0,0.18181818181818182
5,True,1.0,1.0,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.13333333333333333
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666669,0.16666666666666669
11,True,0.0,0.0,0.0,0.0,0.0,0.0
4,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
9,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
22,True,1.0,1.0,1.0,1.0,0.625,0.625
2,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666669,0.16666666666666669
2,True,1.0,1.0,1.0,1.0,0.16666666666666669,0.16666666666666669
1,False,0.0,0.0,0.0,0.0,0.0,0.0
57,True,1.0,1.0,0.25,0.25,0.08955223880597013,0.08955223880597013
1,False,1.0,1.0,0.5,0.5,0.18181818181818182,0.18181818181818182
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
3,True,1.0,1.0,0.25,0.25,0.30769230769230765,0.30769230769230765
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,0.25,0.25,0.16666666666666669,0.16666666666666669
4,True,1.0,1.0,0.5,0.5,0.28571428571428575,0.28571428571428575
2,True,1.0,1.0,0.2,0.2,0.16666666666666669,0.16666666666666669
3,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
